,last_sg,last_pl,last_sg/last_pl,pair_count,sg_prob,pl_prob,P(pl|sg),P(sg|pl)
40833,n,s,n/s,328,0.13430851063829788,0.07136524822695035,0.04009289817870676,0.07545433632390154
54342,i,n,i/n,322,0.012247176254268452,0.4814978986078277,0.4316353887399464,0.01097889460943094
42428,a,n,a/n,317,0.015366430260047281,0.4814978986078277,0.3386752136752137,0.01080841487947083
60053,h,r,h/r,316,0.027055424218544784,0.1385441292356186,0.19174757281553398,0.03744519492830904
603,e,e,e/e,310,0.19372209088521145,0.26938862621486737,0.026271186440677965,0.018892071424218417
50273,s,r,s/r,305,0.03935185185185185,0.1385441292356186,0.1272423863162286,0.03614172295295651
4878,z,n,z/n,285,0.016827554504859468,0.4814978986078277,0.2780487804878049,0.009717344607726141
390,k,s,k/s,260,0.024379432624113476,0.07136524822695035,0.1750841750841751,0.05981136415919024
38809,i,s,i/s,258,0.012247176254268452,0.07136524822695035,0.34584450402144773,0.05935127674258109
44575,m,a,m/a,249,0.0312746256895193,0.00870107696348831,0.13070866141732285,0.469811320754717
25629,s,s,s/s,232,0.03935185185185185,0.07136524822695035,0.09678765123070505,0.05337014032666207
23283,b,e,b/e,225,0.006238508011557657,0.26938862621486737,0.5921052631578947,0.013711987324029496
28590,r,s,r/s,198,0.14404386656159707,0.07136524822695035,0.02256667426487349,0.045548654244306416
30597,n,r,n/r,173,0.13430851063829788,0.1385441292356186,0.02114655910035448,0.020500059248726152
15900,l,s,l/s,162,0.06112096138691883,0.07136524822695035,0.043513295729250605,0.037267080745341616
56248,ß,e,ß/e,151,0.0027252429734699237,0.26938862621486737,0.9096385542168675,0.009202267048570906
48222,h,n,h/n,151,0.027055424218544784,0.4814978986078277,0.09162621359223301,0.005148487844795254
43497,y,s,y/s,148,0.0024789860782768584,0.07136524822695035,0.9801324503311258,0.034046468829077525
20924,u,n,u/n,140,0.004498292618859995,0.4814978986078277,0.5109489051094891,0.004773432438883017
35838,v,e,v/e,135,0.002380483320199632,0.26938862621486737,0.9310344827586207,0.008227192394417698
29180,g,s,g/s,131,0.09433280798529026,0.07136524822695035,0.022798468499825964,0.030135725787899702
14970,d,n,d/n,124,0.028779222484896245,0.4814978986078277,0.07073588134626355,0.004227897303010672
13748,n,a,n/a,118,0.13430851063829788,0.00870107696348831,0.014423664588681091,0.22264150943396227
53268,p,s,p/s,118,0.003923693196742842,0.07136524822695035,0.49372384937238495,0.02714515757994019
30683,a,a,a/a,113,0.015366430260047281,0.00870107696348831,0.12072649572649573,0.21320754716981133
40367,s,i,s/i,101,0.03935185185185185,0.005040057788284738,0.042136003337505216,0.3289902280130293
44138,m,s,m/s,92,0.0312746256895193,0.07136524822695035,0.048293963254593175,0.021164021164021163
44133,d,s,d/s,92,0.028779222484896245,0.07136524822695035,0.052481460353679406,0.021164021164021163
38833,i,i,i/i,88,0.012247176254268452,0.005040057788284738,0.11796246648793565,0.28664495114006516
38727,u,s,u/s,81,0.004498292618859995,0.07136524822695035,0.2956204379562044,0.018633540372670808
43715,o,i,o/i,80,0.01012936695560809,0.005040057788284738,0.12965964343598055,0.26058631921824105
10225,h,s,h/s,79,0.027055424218544784,0.07136524822695035,0.047936893203883495,0.018173452956061653
23809,x,e,x/e,78,0.002610323089046493,0.26938862621486737,0.49056603773584906,0.004753488938996892
22657,p,e,p/e,76,0.003923693196742842,0.26938862621486737,0.3179916317991632,0.004631604607227741
58300,b,s,b/s,67,0.006238508011557657,0.07136524822695035,0.1763157894736842,0.015412928456406717
54594,f,s,f/s,66,0.01607236669293407,0.07136524822695035,0.06741573033707865,0.01518288474810214
23676,a,e,a/e,53,0.015366430260047281,0.26938862621486737,0.056623931623931624,0.0032299347918825034
443,z,r,z/r,53,0.016827554504859468,0.1385441292356186,0.05170731707317073,0.0062803649721530986
11612,b,n,b/n,47,0.006238508011557657,0.4814978986078277,0.12368421052631579,0.0016025094616250127
53671,f,n,f/n,47,0.01607236669293407,0.4814978986078277,0.04800817160367722,0.0016025094616250127
22893,l,r,l/r,45,0.06112096138691883,0.1385441292356186,0.012087026591458501,0.005332385353714895
54655,p,n,p/n,44,0.003923693196742842,0.4814978986078277,0.18410041841004185,0.0015002216236489482
39358,o,n,o/n,44,0.01012936695560809,0.4814978986078277,0.0713128038897893,0.0015002216236489482
35824,é,s,é/s,42,0.0006895193065405832,0.07136524822695035,1.0,0.00966183574879227
12133,m,r,m/r,42,0.0312746256895193,0.1385441292356186,0.02204724409448819,0.004976892996800568
19795,x,s,x/s,39,0.002610323089046493,0.07136524822695035,0.24528301886792453,0.008971704623878536
6437,u,e,u/e,36,0.004498292618859995,0.26938862621486737,0.13138686131386862,0.0021939179718447194
40041,i,e,i/e,36,0.012247176254268452,0.26938862621486737,0.04825737265415549,0.0021939179718447194
